country,country_code,year,total_generation,total_co2,total_certified,perc_tracked_total,perc_residual,perc_tracked_renewables,perc_green,residualmix_gco2kwh,methodology
Cambodia,KHM,2021,10.08,3590.0,0.055397,0.5495734126984126,99.45042658730159,0.9341821247892075,58.82936507936508,,I-REC
Cambodia,KHM,2022,10.649999999999999,3250.0,0.113302339995,1.0638717370422537,98.93612826295775,1.6420628984782608,64.7887323943662,,I-REC
Cambodia,KHM,2023,13.77,6480.0,0.11401093,0.8279660856935368,99.17203391430647,1.859884665579119,44.517066085693536,,I-REC
Cambodia,KHM,2024,15.719999999999999,7820.0,0.049370078,0.3140590203562341,99.68594097964376,0.7714074687499999,40.712468193384225,,I-REC
Cameroon,CMR,2020,8.8,2820.0,0,0.0,100.0,0.0,60.11363636363636,,GO
Cameroon,CMR,2021,8.41,2510.0,0,0.0,100.0,0.0,62.9013079667063,,GO
Cameroon,CMR,2022,8.15,2290.0,0,0.0,100.0,0.0,64.9079754601227,,GO
Cameroon,CMR,2023,8.33,2380.0,0,0.0,100.0,0.0,63.86554621848739,,GO
Canada,CAN,2020,655.89,106050.0,0,0.0,100.0,0.0,66.59500830932016,,GO
Canada,CAN,2021,652.4,107890.0,0,0.0,100.0,0.0,66.73666462293073,,GO
Canada,CAN,2022,664.08,106650.0,0,0.0,100.0,0.0,68.1348632694856,,GO
Canada,CAN,2023,641.39,111750.0,0,0.0,100.0,0.0,65.39702832909774,,GO
Canada,CAN,2024,636.79,117800.0,0,0.0,100.0,0.0,64.27236608615084,,GO
Cayman Islands,CYM,2020,0.6900000000000001,440.0,0,0.0,100.0,0.0,2.8985507246376807,,GO
Cayman Islands,CYM,2021,0.7000000000000001,450.0,0,0.0,100.0,0.0,2.857142857142857,,GO
Cayman Islands,CYM,2022,0.7000000000000001,450.0,0,0.0,100.0,0.0,2.857142857142857,,GO
Cayman Islands,CYM,2023,0.7000000000000001,450.0,0,0.0,100.0,0.0,2.857142857142857,,GO
Central African Republic,CAF,2020,0.15,0.0,0,0.0,100.0,0.0,100.0,,GO
Central African Republic,CAF,2021,0.15,0.0,0,0.0,100.0,0.0,100.0,,GO
Central African Republic,CAF,2022,0.14,0.0,0,0.0,100.0,0.0,100.0,,GO
Chad,TCD,2020,0.35000000000000003,220.0,0,0.0,100.0,0.0,5.714285714285714,,GO
Chad,TCD,2021,0.43,270.0,0,0.0,100.0,0.0,4.651162790697675,,GO
Chad,TCD,2022,0.39,240.0,0,0.0,100.0,0.0,5.128205128205128,,GO
Chad,TCD,2023,0.0,0.0,0.000926,,100.0,,,,I-REC
Chad,TCD,2024,0.0,0.0,0.000237,,100.0,,,,I-REC
Chile,CHL,2020,83.58,36510.0,1.9032330000000002,2.2771392677674087,97.72286073223259,4.70050135836009,48.444603972242156,,I-REC
Chile,CHL,2021,87.13,37070.0,12.122752999999998,13.913408699644208,86.08659130035579,28.146628743905268,49.431883392631704,,I-REC
Chile,CHL,2022,91.04,33940.0,17.937950467489,19.703372657610938,80.29662734238906,35.61236940140758,55.32732864674868,,I-REC
Chile,CHL,2023,87.67,26470.0,23.813945852029,27.1631639694639,72.8368360305361,42.1784375700124,64.40059313334093,,I-REC
Chile,CHL,2024,89.26,23700.0,25.125465518883,28.14862818606655,71.85137181393345,40.27162288649303,69.89693031593099,,I-REC
China,CHN,2020,7779.07,4716070.0,14.608414,0.18779126553688297,99.81220873446311,0.6685742399348286,28.088319040707955,,I-REC
China,CHN,2021,8534.26,5112020.0,67.609162,0.7922088382589701,99.20779116174103,2.7609099150604375,28.693759037104567,,I-REC
China,CHN,2022,8848.710000000001,5192020.0,72.30610016050099,0.8171371890422557,99.18286281095774,2.7074243879977606,30.18134846774275,,I-REC
